,Model,Type,Type,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Sensitivity,Specificity,Pos.Pred.Value,Neg.Pred.Value,Precision,Recall,F1,Prevalence,Detection.Rate,Detection.Prevalence,Balanced.Accuracy
35,Building 8.75690.1,1,dist_heating,0.828258222,0.656401748,0.809129035,0.846205833,0.503045067,1.33E-166,0.020210536,0.802696078,0.853510896,0.844072165,0.81408776,0.844072165,0.802696078,0.822864322,0.496954933,0.398903776,0.472594397,0.828103487
36,Building 25.75691.1,1,dist_heating,0.799025579,0.598130453,0.778811517,0.818164634,0.511571255,5.20E-129,0.168758265,0.788095238,0.810473815,0.813267813,0.785024155,0.813267813,0.788095238,0.800483676,0.511571255,0.40316687,0.495736906,0.799284527
37,Building 5.75692.1,1,dist_heating,0.78501827,0.506861599,0.764342896,0.8046695,0.667478685,6.13E-26,0.043121016,0.856751825,0.641025641,0.827312775,0.690335306,0.827312775,0.856751825,0.841774989,0.667478685,0.571863581,0.691230207,0.748888733
38,Building 17.75693.1,1,dist_heating,0.867844093,0.731040334,0.850500494,0.883860434,0.555420219,4.90E-164,0.0145319,0.901315789,0.826027397,0.866174921,0.87012987,0.866174921,0.901315789,0.883396024,0.555420219,0.500609013,0.577953715,0.863671593
39,Building 15.75694.1,1,dist_heating,0.835566382,0.671084455,0.816737021,0.853187415,0.50182704,4.98E-176,0.077583297,0.816625917,0.854368932,0.847715736,0.824355972,0.847715736,0.816625917,0.831880448,0.49817296,0.40682095,0.479902558,0.835497424
40,Building 23.75696.1,1,dist_heating,0.788672351,0.549391279,0.768113929,0.80819337,0.623020706,1.81E-47,0.829976856,0.832844575,0.715670436,0.828793774,0.721498371,0.828793774,0.832844575,0.830814237,0.623020706,0.518879415,0.626065773,0.774257505
41,Building 24.75697.1,1,dist_heating,0.844701583,0.669305629,0.826264843,0.861896472,0.619366626,9.20E-90,0.452370361,0.7856,0.881022616,0.802287582,0.869902913,0.802287582,0.7856,0.793856103,0.380633374,0.299025579,0.3727162,0.833311308
42,Building 24.75698.1,1,dist_heating,0.849573691,0.675380308,0.831354899,0.866532713,0.627892814,3.67E-88,0.126740266,0.777414075,0.892337536,0.810580205,0.871212121,0.810580205,0.777414075,0.793650794,0.372107186,0.289281364,0.356881851,0.834875806
43,Building 7.75699.1,1,dist_heating,0.827040195,0.652993099,0.807862219,0.84504105,0.52679659,4.54E-144,0.85870943,0.838150289,0.814671815,0.83429229,0.818887451,0.83429229,0.838150289,0.83621684,0.52679659,0.441534714,0.529232643,0.826411052
44,Building 10.75700.1,1,dist_heating,0.806333739,0.570089118,0.786374774,0.825191116,0.646772229,7.15E-46,0.049680748,0.867231638,0.694827586,0.838797814,0.740808824,0.838797814,0.867231638,0.852777778,0.646772229,0.56090134,0.668696711,0.781029612
45,Building 10.75701.1,1,dist_heating,0.816686967,0.581725797,0.797107347,0.835127274,0.676613886,2.02E-37,0.908224709,0.863186319,0.719397363,0.865523466,0.715355805,0.865523466,0.863186319,0.864353312,0.676613886,0.584043849,0.674786845,0.791291841
46,Building 14.75702.1,1,dist_heating,0.768574909,0.534477716,0.747401373,0.788783874,0.53227771,2.09E-87,0.329719297,0.794050343,0.739583333,0.776286353,0.759358289,0.776286353,0.794050343,0.785067873,0.53227771,0.422655298,0.544457978,0.766816838
47,Building 14.75703.1,1,dist_heating,0.858708892,0.708459737,0.840915809,0.875208523,0.584652862,6.51E-129,0.554601532,0.822580645,0.884375,0.834821429,0.875257732,0.834821429,0.822580645,0.828655835,0.415347138,0.341656516,0.409257004,0.853477823
48,Building 5.75704.1,1,dist_heating,0.84043849,0.674439583,0.821815984,0.857834798,0.582825822,3.50E-112,0.022262003,0.843260188,0.83649635,0.8781284,0.79253112,0.8781284,0.843260188,0.860341151,0.582825822,0.491473812,0.559683313,0.839878269
49,Building 20.75705.1,1,dist_heating,0.817904994,0.635826196,0.79837144,0.836294791,0.518270402,5.54E-142,0.082750584,0.830594185,0.806110458,0.799270073,0.836585366,0.799270073,0.830594185,0.814631122,0.481729598,0.400121803,0.500609013,0.818352321
50,Building 5.75706.1,1,dist_heating,0.816077954,0.630806296,0.796475416,0.8345434,0.53410475,5.46E-127,0.526747441,0.810457516,0.820980616,0.797940798,0.832369942,0.797940798,0.810457516,0.804150454,0.46589525,0.377588307,0.47320341,0.815719066
51,Building 21.75707.1,1,dist_heating,0.730816078,0.456019164,0.708658426,0.752145546,0.539585871,3.34E-57,0.051155726,0.774266366,0.67989418,0.739224138,0.719887955,0.739224138,0.774266366,0.756339581,0.539585871,0.417783191,0.565164434,0.727080273
52,Building 6.75708.1,1,dist_heating,0.849573691,0.696009342,0.831354899,0.866532713,0.543239951,5.81E-154,0.098058372,0.876681614,0.817333333,0.850924918,0.847856155,0.850924918,0.876681614,0.863611264,0.543239951,0.476248477,0.559683313,0.847007474
53,Building 6.75709.1,1,dist_heating,0.80816078,0.613066695,0.7882672,0.826946119,0.554811206,8.85E-104,0.142938914,0.812294182,0.803009576,0.837104072,0.774406332,0.837104072,0.812294182,0.824512535,0.554811206,0.450669915,0.538367844,0.807651879
54,Building 4.75710.1,1,dist_heating,0.809378806,0.612732931,0.789529182,0.828115754,0.559683313,2.75E-101,0.651134463,0.834602829,0.777316736,0.826508621,0.787114846,0.826508621,0.834602829,0.830536004,0.559683313,0.467113276,0.565164434,0.805959782
55,Building 4.75711.1,1,dist_heating,0.846528624,0.689383066,0.828172897,0.863635783,0.540803898,9.74E-153,0.001314945,0.887387387,0.798408488,0.838297872,0.857549858,0.838297872,0.887387387,0.86214442,0.540803898,0.479902558,0.572472594,0.842897938
56,Building 12.75712.1,1,dist_heating,0.818514007,0.635768412,0.799003603,0.836878433,0.522533496,5.70E-139,0.147558017,0.841491841,0.793367347,0.816742081,0.820580475,0.816742081,0.841491841,0.828932262,0.522533496,0.439707674,0.538367844,0.817429594
57,Building 12.75713.1,1,dist_heating,0.808769793,0.488881223,0.788898154,0.827530973,0.733252132,5.01E-13,0.000869825,0.894518272,0.573059361,0.852056962,0.664021164,0.852056962,0.894518272,0.872771475,0.733252132,0.65590743,0.769792935,0.733788817
58,Building 4.75714.1,1,dist_heating,0.792935445,0.583933272,0.77251646,0.812301551,0.526187576,7.61E-112,0.115777686,0.820601852,0.762210797,0.793064877,0.792780749,0.793064877,0.820601852,0.806598407,0.526187576,0.431790499,0.544457978,0.791406324
59,Building 4.75715.1,1,dist_heating,0.831912302,0.645869051,0.812931491,0.849698167,0.616930572,9.21E-81,0.433916059,0.791732909,0.856860809,0.774494557,0.868868869,0.774494557,0.791732909,0.783018868,0.383069428,0.303288672,0.391595615,0.824296859
60,Building 26.75716.1,1,dist_heating,0.803288672,0.58171247,0.783222175,0.822264661,0.615103532,7.32E-61,0.220909699,0.851485149,0.726265823,0.832526621,0.753694581,0.832526621,0.851485149,0.841899168,0.615103532,0.523751523,0.62911084,0.788875486
